epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,3896.27,1.33124,1.33595,1.26733,0.70197,0.56072,0.61463,0.37785,1.30013,1.20911,1.24445,0.00138149,0.00138149,0.00138149
4,2477.55,1.34687,1.31949,1.23194,0.73859,0.57767,0.63222,0.39,1.24869,1.03268,1.14337,0.00135826,0.00135826,0.00135826
5,5413.72,1.29378,1.23694,1.19971,0.77484,0.57526,0.65785,0.42361,1.19263,1.00329,1.10794,0.00133469,0.00133469,0.00133469
6,8201.25,1.26194,1.17971,1.18698,0.75445,0.62506,0.68698,0.44662,1.16379,0.94121,1.07461,0.00131111,0.00131111,0.00131111
7,10919.1,1.24302,1.13281,1.17058,0.77371,0.61774,0.69515,0.45029,1.15365,0.92385,1.08076,0.00128753,0.00128753,0.00128753
8,13294,1.22731,1.10437,1.16238,0.79382,0.62421,0.69724,0.44371,1.18284,0.91761,1.08651,0.00126395,0.00126395,0.00126395
9,15657.6,1.19825,1.07014,1.15143,0.78789,0.64836,0.71429,0.45719,1.14534,0.8841,1.07725,0.00124037,0.00124037,0.00124037
10,18022.6,1.19317,1.05469,1.1452,0.82121,0.66519,0.73846,0.4803,1.12017,0.8443,1.0605,0.00121679,0.00121679,0.00121679
11,20388.7,1.17482,1.0206,1.13813,0.78991,0.66967,0.72707,0.47327,1.11669,0.831,1.04994,0.00119322,0.00119322,0.00119322
12,22731.7,1.1652,1.00634,1.13278,0.85028,0.65607,0.74768,0.48415,1.09437,0.81647,1.05395,0.00116964,0.00116964,0.00116964
13,25074.3,1.15887,0.99338,1.12828,0.83732,0.67334,0.75414,0.49458,1.09749,0.78983,1.04777,0.00114606,0.00114606,0.00114606
14,27412.1,1.14756,0.97274,1.12458,0.82875,0.67431,0.75667,0.50006,1.07946,0.79614,1.03242,0.00112248,0.00112248,0.00112248
15,29781.9,1.12649,0.95145,1.11333,0.84166,0.6769,0.75967,0.50601,1.06048,0.77503,1.03444,0.0010989,0.0010989,0.0010989
16,32112.6,1.13495,0.95056,1.1168,0.82355,0.67341,0.75025,0.49796,1.07156,0.77578,1.03423,0.00107532,0.00107532,0.00107532
17,34442.3,1.12533,0.93492,1.11039,0.82274,0.70414,0.7632,0.50997,1.05995,0.75762,1.02506,0.00105174,0.00105174,0.00105174
18,36827.4,1.10804,0.91536,1.10225,0.85702,0.70057,0.77848,0.51751,1.06269,0.74219,1.02398,0.00102817,0.00102817,0.00102817
19,39326,1.10233,0.90379,1.1042,0.84284,0.70605,0.77373,0.51383,1.05852,0.74219,1.02759,0.00100459,0.00100459,0.00100459
20,41741.2,1.10303,0.9078,1.10052,0.84925,0.70104,0.77675,0.51851,1.04262,0.7329,1.01761,0.000981008,0.000981008,0.000981008
21,44087,1.08605,0.88844,1.09366,0.86722,0.70099,0.78199,0.52418,1.04624,0.72104,1.01558,0.00095743,0.00095743,0.00095743
22,46431.5,1.08766,0.87714,1.08901,0.85507,0.71668,0.7882,0.52771,1.02862,0.71097,1.01073,0.000933851,0.000933851,0.000933851
23,48771.2,1.08285,0.87111,1.08813,0.8607,0.7165,0.7894,0.53261,1.02176,0.71143,1.00208,0.000910273,0.000910273,0.000910273
24,51116.5,1.08244,0.86089,1.08882,0.84331,0.71706,0.79249,0.53016,1.03823,0.70081,1.0113,0.000886694,0.000886694,0.000886694
25,53489.1,1.07885,0.85964,1.08641,0.85994,0.72049,0.78993,0.53616,1.02198,0.68388,1.00409,0.000863116,0.000863116,0.000863116
26,55859,1.07466,0.843,1.07894,0.86539,0.71826,0.79373,0.53782,1.02226,0.67964,0.99645,0.000839537,0.000839537,0.000839537
27,58238,1.05801,0.83903,1.0722,0.88241,0.71071,0.79696,0.54099,1.02008,0.68118,1.00308,0.000815959,0.000815959,0.000815959
28,60610.6,1.04282,0.81611,1.06925,0.86788,0.72533,0.80364,0.54407,1.01181,0.6715,1.00094,0.00079238,0.00079238,0.00079238
29,62994.4,1.05973,0.83124,1.08122,0.87774,0.72615,0.80657,0.54729,1.00555,0.66284,0.99648,0.000768802,0.000768802,0.000768802
30,65589,1.03999,0.81803,1.07328,0.87139,0.73327,0.80449,0.54205,1.01444,0.66489,1.00193,0.000745223,0.000745223,0.000745223
31,67943.8,1.03938,0.80705,1.06783,0.87543,0.72263,0.80441,0.54467,1.00974,0.66637,0.99736,0.000721645,0.000721645,0.000721645
32,70310.6,1.03507,0.79355,1.06439,0.85139,0.72801,0.79214,0.53816,0.99821,0.66324,0.99314,0.000698066,0.000698066,0.000698066
33,72691.8,1.03195,0.78529,1.06191,0.88026,0.71992,0.80489,0.54768,1.00822,0.66229,0.9922,0.000674488,0.000674488,0.000674488
34,75045.7,1.03265,0.78934,1.06315,0.86755,0.72814,0.80373,0.54746,1.00264,0.65628,0.99237,0.000650909,0.000650909,0.000650909
35,77394.5,1.02227,0.77806,1.05837,0.86733,0.7457,0.81251,0.55049,1.00829,0.64959,0.99053,0.000627331,0.000627331,0.000627331
36,79745.6,1.01991,0.77506,1.05685,0.86686,0.73742,0.81257,0.55634,0.99369,0.64127,0.98511,0.000603752,0.000603752,0.000603752
37,82111.2,1.01177,0.76027,1.0513,0.88033,0.73519,0.81714,0.55899,0.98742,0.63165,0.98355,0.000580174,0.000580174,0.000580174
38,84455.6,1.00678,0.76219,1.05219,0.87107,0.74254,0.81738,0.55646,0.99319,0.64058,0.98726,0.000556595,0.000556595,0.000556595
39,86813.8,1.00498,0.75553,1.05045,0.86594,0.74795,0.81702,0.55988,0.98486,0.63178,0.98061,0.000533017,0.000533017,0.000533017
40,89164.4,1.00303,0.75579,1.05245,0.88302,0.74342,0.82311,0.56109,0.98594,0.63281,0.97784,0.000509438,0.000509438,0.000509438
41,91517.9,1.00245,0.74775,1.04766,0.8833,0.74123,0.82136,0.56093,0.98249,0.63024,0.97782,0.00048586,0.00048586,0.00048586
42,93884.2,0.99842,0.74328,1.04617,0.87685,0.75518,0.82405,0.56444,0.98643,0.61976,0.9821,0.000462281,0.000462281,0.000462281
43,96246,0.99277,0.7401,1.0438,0.88606,0.74674,0.82182,0.56355,0.98643,0.62158,0.9796,0.000438703,0.000438703,0.000438703
44,98601.4,0.97735,0.72439,1.03899,0.88129,0.74377,0.82588,0.56532,0.98012,0.61926,0.97665,0.000415124,0.000415124,0.000415124
45,100955,0.98048,0.71621,1.03486,0.88789,0.74441,0.8236,0.56316,0.98315,0.6185,0.97936,0.000391546,0.000391546,0.000391546
46,103309,0.98286,0.71567,1.0383,0.88772,0.74714,0.82744,0.56556,0.98173,0.61637,0.9758,0.000367967,0.000367967,0.000367967
47,105919,0.97517,0.70891,1.03346,0.88437,0.75422,0.8296,0.56632,0.97935,0.6113,0.97575,0.000344389,0.000344389,0.000344389
48,108525,0.96271,0.69773,1.03033,0.88024,0.75556,0.82535,0.56778,0.97276,0.60696,0.97374,0.00032081,0.00032081,0.00032081
49,110937,0.96557,0.69962,1.03496,0.88954,0.74911,0.82684,0.56888,0.97248,0.60518,0.96924,0.000297232,0.000297232,0.000297232
50,113340,0.95664,0.68737,1.02747,0.88119,0.75239,0.82692,0.56957,0.97067,0.60092,0.97061,0.000273654,0.000273654,0.000273654
51,115716,0.91507,0.58205,0.97962,0.88757,0.75253,0.82546,0.56751,0.97254,0.60592,0.9702,0.000250075,0.000250075,0.000250075
52,118085,0.9022,0.56608,0.97437,0.89071,0.75411,0.82733,0.56985,0.96906,0.59875,0.9708,0.000226497,0.000226497,0.000226497
53,120443,0.89529,0.55685,0.97226,0.88057,0.7563,0.82707,0.57047,0.96215,0.60067,0.96942,0.000202918,0.000202918,0.000202918
