epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2077.06,1.31067,0.81013,1.18527,0.85261,0.72154,0.78774,0.44348,1.47207,0.80359,1.13807,0.000476149,0.000476149,0.000476149
2,4043.27,1.30428,0.86398,1.17993,0.82326,0.69282,0.75521,0.41357,1.53911,0.8654,1.17185,0.000858186,0.000858186,0.000858186
3,5954.52,1.31841,0.89694,1.19066,0.82367,0.69092,0.75144,0.41078,1.52849,0.86966,1.17121,0.00114591,0.00114591,0.00114591
4,7871.18,1.31209,0.89143,1.19229,0.82833,0.70111,0.76735,0.44191,1.40403,0.81602,1.12277,0.00100459,0.00100459,0.00100459
5,9780.38,1.28305,0.87003,1.17617,0.84855,0.6959,0.76798,0.44101,1.43415,0.83438,1.13622,0.000863116,0.000863116,0.000863116
6,11689.7,1.25856,0.83289,1.16021,0.83787,0.69647,0.76213,0.45112,1.37256,0.81196,1.10331,0.000721645,0.000721645,0.000721645
7,13603.2,1.25417,0.81352,1.15357,0.83395,0.71481,0.77414,0.45456,1.36723,0.77979,1.09628,0.000580174,0.000580174,0.000580174
8,15510,1.22439,0.78366,1.13886,0.83734,0.71917,0.78234,0.46025,1.38165,0.7766,1.10408,0.000438703,0.000438703,0.000438703
9,17423.5,1.2191,0.76547,1.13757,0.86216,0.72114,0.78749,0.46122,1.39841,0.75914,1.10376,0.000297232,0.000297232,0.000297232
10,19331.8,1.19301,0.73762,1.11838,0.8649,0.72765,0.796,0.48267,1.30528,0.72916,1.07048,0.000155761,0.000155761,0.000155761
